timestamp_utc,gpu_name,utilization_gpu_percent,memory_used_mb,memory_total_mb
2026-08-18T18:26:18.589753Z,NVIDIA GeForce RTX 5060 Ti,93.0,5370.0,16311.0
2026-08-18T18:26:19.658750Z,NVIDIA GeForce RTX 5060 Ti,92.0,5370.0,16311.0
2026-08-18T18:26:20.742751Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:26:21.826750Z,NVIDIA GeForce RTX 5060 Ti,91.0,5370.0,16311.0
2026-08-18T18:26:22.896750Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:26:23.967750Z,NVIDIA GeForce RTX 5060 Ti,93.0,5370.0,16311.0
2026-08-18T18:26:25.054751Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:26:26.139461Z,NVIDIA GeForce RTX 5060 Ti,92.0,5370.0,16311.0
2026-08-18T18:26:27.222463Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:26:28.308462Z,NVIDIA GeForce RTX 5060 Ti,94.0,5370.0,16311.0
2026-08-18T18:26:29.377460Z,NVIDIA GeForce RTX 5060 Ti,93.0,5370.0,16311.0
2026-08-18T18:26:30.431009Z,NVIDIA GeForce RTX 5060 Ti,26.0,5370.0,16311.0
2026-08-18T18:26:30.959070Z,NVIDIA GeForce RTX 5060 Ti,0.0,2854.0,16311.0
